gloss,closs,cfloss,crloss,cploss
3975.417236328125,-656.9208007026464,-1164.049416039139,507.12861910052595,297.9139915406704
-427.609375,-1124.9913757324218,-2122.6069425582887,997.6155670166012,518.4473016858101
-1813.018310546875,-1112.4616577148438,1085.867474365234,-2198.3291290283205,505.6891939043999
209.09170532226562,-1129.0042022705077,-131.19452794790266,-997.8096725463867,497.1318998336792
-205.88998413085938,-1159.3809661865234,86.87469501495362,-1246.2556549072265,547.9315791130066
268.44586181640625,-1000.5434059143067,698.5137210845947,-1699.0571289062502,427.0163776874542
-731.868408203125,-1092.0920410156248,981.8002197265624,-2073.892248535157,484.651113986969
-1377.823974609375,-1151.1263427734373,1192.8542083740238,-2343.9805541992187,509.3600902557373
-124.23951721191406,-1109.4390319824217,1418.0090682983396,-2527.4481025695795,510.59538078308105
-1801.321044921875,-1046.287353515625,1941.575424194336,-2987.862777709961,457.29610323905945
-2729.5478515625,-1082.5914184570313,1997.6211669921877,-3080.212585449219,478.73432064056396
-1902.1317138671875,-1062.8606201171874,2278.9346862792972,-3341.7953063964846,469.05871772766113
-403.67413330078125,-1033.468600463867,1965.1007354736325,-2998.5693359375005,483.48496770858765
-37.637001037597656,-1009.1568847656249,-182.94119700193406,-826.2156921386719,428.2362377643585
-1176.3206787109375,-1036.8088684082031,636.3807868957521,-1673.1896606445314,455.8049154281616
-1285.7166748046875,-1003.5300598144532,1492.251127624512,-2495.7811889648438,435.7203426361084
-3626.01953125,-956.1708038330078,1891.970864868164,-2848.141668701172,430.05561818555
-4050.726318359375,-955.298876953125,3663.1862548828126,-4618.485131835937,407.95573902130127
-2748.4970703125,-943.2216064453125,3008.5691162109374,-3951.7907226562506,410.3088130950928
-1949.9176025390625,-902.5757263183593,2165.313836669922,-3067.8895629882813,392.9147238731384
